"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL66077";"";"None";"226.24";"0";"1.18";"18";"Nc1nc(N)c2[nH]c(-c3ccccc3)nc2n1";"IC50";"'='";"28183.83";"nM";"4.55";"";"";"UO_0000065";"20.11";"0.37";"3.37";"4.27";"0";"CHEMBL1071424";"Inhibition of Toxoplasma gondii DHFR by spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1156926";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";""
"CHEMBL22623";"";"None";"354.41";"0";"2.15";"3b";"COc1cc(OC)cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1";"IC50";"'='";"58.0";"nM";"7.24";"";"";"UO_0000065";"20.42";"0.38";"5.09";"6.44";"0";"CHEMBL664916";"Inhibitory activity against Dihydrofolate reductase from Toxoplasma gondii";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1128680";"1";"Scientific Literature";"J Med Chem";"1995";"None";"";"";""
"CHEMBL601520";"";"None";"372.43";"0";"4.13";"49";"CCn1c2ccccc2c2cc(NCc3coc4nc(N)nc(N)c34)ccc21";"IC50";"'='";"4500.0";"nM";"5.35";"";"";"UO_0000065";"14.36";"0.26";"1.22";"4.95";"0";"CHEMBL1071424";"Inhibition of Toxoplasma gondii DHFR by spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1156926";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";""
"CHEMBL69363";"";"None";"342.40";"0";"2.53";"7";"CCOc1ccc(OCC)c(NCc2c[nH]c3nc(N)nc(N)c23)c1";"IC50";"'='";"5300.0";"nM";"5.28";"";"";"UO_0000065";"15.41";"0.29";"2.75";"4.25";"1";"CHEMBL1071424";"Inhibition of Toxoplasma gondii DHFR by spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1156926";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";""
"CHEMBL609914";"";"None";"325.44";"0";"3.46";"59";"Cc1c(Sc2cccc3c2CCCC3)[nH]c2nc(N)nc(N)c12";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"20.88";"0.40";"3.34";"7.26";"0";"CHEMBL1071424";"Inhibition of Toxoplasma gondii DHFR by spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1156926";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";""
"CHEMBL277217";"";"None";"327.41";"0";"2.80";"13f";"COc1cccc(SCc2cnc3nc(N)nc(N)c3c2C)c1";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"21.25";"0.41";"4.16";"6.96";"0";"CHEMBL665590";"Inhibitory activity against Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1129525";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL522678";"";"None";"343.43";"0";"3.97";"7";"CCN(Cc1ccc2ccccc2c1)c1ccc2nc(N)nc(N)c2c1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"23.06";"0.42";"3.95";"9.77";"0";"CHEMBL1027390";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1140088";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL22623";"";"None";"354.41";"0";"2.15";"14f";"COc1cc(OC)cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"23.70";"0.44";"6.25";"7.47";"0";"CHEMBL665590";"Inhibitory activity against Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1129525";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL22";"TRIMETHOPRIM";"4.0";"290.32";"0";"1.26";"1";"COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC";"IC50";"'='";"2700.0";"nM";"5.57";"";"";"UO_0000065";"19.18";"0.36";"4.31";"5.28";"1";"CHEMBL665602";"The ability to inhibit Toxoplasma gondii Dihydrofolate reductase was tested";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1132605";"1";"Scientific Literature";"J Med Chem";"1999";"None";"";"";""
"CHEMBL342555";"";"None";"384.40";"0";"1.38";"34";"COc1cc(N(C=O)Cc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC";"IC50";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"15.50";"0.29";"4.58";"4.30";"1";"CHEMBL828662";"Inhibition of Toxoplasma gondii dihydrofolate reductase";"B";"BAO_0000357";"single protein format";"Toxoplasma gondii";"None";"None";"None";"None";"";"";"";"CHEMBL2425";"Dihydrofolate reductase";"Toxoplasma gondii";"SINGLE PROTEIN";"CHEMBL1145190";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
