y_pred_run_1,y_pred_run_2,y_pred_run_3,y_pred_run_4,y_pred_run_5,average_y_pred,y_test,Relative_Error_%
7.8388195,7.721936,7.5518527,7.9449124,7.437052,7.6989145,7.886056647693163,-2.373076027228889
5.3307123,5.4615626,5.298988,4.9950767,5.2860956,5.2744875,5.769551078621726,-8.580625709923122
7.4800744,7.2098227,7.559738,7.148133,7.301731,7.3399,7.244125144327507,1.32210405741206
5.6546283,5.617939,5.5612426,5.5623293,5.2090645,5.521041,5.3872161432802645,2.484117392051044
6.4227414,6.5037637,6.232037,6.3952765,6.6115646,6.4330764,6.008773924307505,7.0613816182931926
5.960204,5.9608264,6.174911,6.3850665,6.4668236,6.1895666,6.853871964321762,-9.692409714336517
6.9233103,7.0682545,7.2915425,7.128766,7.7329283,7.2289605,7.0,3.270864486694336
8.089792,7.8727818,8.234277,8.343882,7.940978,8.096342,8.698970004336019,-6.927577830980512
4.557523,4.7660303,4.7605286,4.5635366,4.8494616,4.6994157,4.8124792791635365,-2.349383526838796
4.445237,4.467396,4.5735135,4.3178487,4.4026775,4.4413347,4.158640529545145,6.79775500846294
5.484198,5.377305,5.3313384,5.0827346,5.30371,5.315858,5.091514981121351,4.406211254971225
4.626621,4.684822,4.518334,4.3485727,4.4585123,4.527372,5.4089353929735005,-16.298281372085995
5.572625,5.755146,5.618933,5.699719,5.519,5.633085,6.136677139879544,-8.206271152666426
5.8647776,5.9469895,5.873917,6.0341563,5.4896193,5.8418922,4.97469413473523,17.432189481586416
7.797327,7.7452707,7.7285666,7.8416333,7.6949835,7.761556,8.0,-2.980548143386841
7.2936506,7.019168,7.237168,7.077812,7.28922,7.183404,7.585026652029182,-5.294940962543654
7.260702,7.148915,7.525603,7.1643248,7.2427177,7.2684526,7.045757490560675,3.1606985350520276
6.633922,6.7745686,6.692387,6.556818,6.954418,6.7224226,7.481486060122113,-10.145891527828937
5.3762064,5.5880747,5.376742,5.285951,5.1332417,5.352043,6.721246399047171,-20.371269938650155
7.548992,7.2050714,7.447533,7.3773828,7.4962883,7.4150534,7.494850021680094,-1.064686469169131
5.0070124,4.955767,5.040913,4.658072,4.83187,4.8987265,5.177178354696896,-5.37844888280515
5.4257326,5.396248,5.375235,5.278271,5.255456,5.3461885,4.774690718274138,11.969316143674478
5.4634113,5.5926313,5.4758058,5.2936954,5.403184,5.445746,5.522878745280337,-1.39660499281187
6.481784,6.1954336,5.9247694,6.262888,6.113427,6.1956606,6.221848749616356,-0.42090638240736156
5.010316,4.8875628,5.072887,4.6879497,4.9697447,4.925692,5.0617305165370885,-2.687587469171339
5.00468,5.1228848,5.193032,4.9400105,5.1410284,5.080327,5.301029995663981,-4.163397714178658
5.704111,5.874179,5.684381,5.782882,5.633691,5.735849,5.501689446210399,4.256137314455242
5.5964584,5.440651,5.489125,5.6702456,5.3541794,5.510132,5.049148541111453,9.12992143274462
