Descriptor,Importance,Descriptor Type,Description,Class
PubchemFP461,0.0093179311212038,SMARTS patterns,O-C-C=N,FP
PubchemFP755,0.0062999522454379,SMARTS patterns 2,Cc1c(C)cccc1,FP
maxsBr,0.0048373800852892,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type E-State: -Br,2D
nFG12HeteroRing,0.0039275677309804,RingCountDescriptor,"Number of >12-membered fused rings containing heteroatoms (N, O, P, S, or halogens)",2D
nFG12Ring,0.0038609151555618,RingCountDescriptor,Number of >12-membered fused rings,2D
PubchemFP193,0.0038607637859658,Chemical Rings,>= 3 saturated or aromatic carbon-only ring size 6,FP
PubchemFP494,0.0037634768156898,SMARTS patterns,O=C-C:N,FP
JGI7,0.0031616132310907,TopologicalChargeDescriptor,Mean topological charge index of order 7,2D
maxHBint6,0.0029327450465315,ElectrotopologicalStateAtomTypeDescriptor,Maximum E-State descriptors of strength for potential Hydrogen Bonds of path length 6,2D
PubchemFP737,0.002922320532267,SMARTS patterns 2,Cc1cc(N)ccc1,FP
E2m,0.0027310445245917,PaDELWHIMDescriptor,2nd component accessibility directional WHIM index / weighted by relative mass,3D
PubchemFP779,0.0026967888082232,SMARTS patterns 2,CC1CCC(N)CC1,FP
PubchemFP696,0.0026134841599914,SMARTS patterns,C-C-C-C-C-C-C-C,FP
AATSC8i,0.0024590957081735,AutocorrelationDescriptor,Average centered Broto-Moreau autocorrelation - lag 8 / weighted by first ionization potential,2D
nBr,0.002451451641307,AtomCountDescriptor,Number of bromine atoms,2D
PubchemFP759,0.0023031614578849,SMARTS patterns 2,Cc1c(Cl)cccc1,FP
RDF85p,0.0022735128946011,RDFDescriptor,Radial distribution function - 085 / weighted by relative polarizabilities,3D
GATS8i,0.0022541008044447,AutocorrelationDescriptor,Geary autocorrelation - lag 8 / weighted by first ionization potential,2D
ATSC8i,0.0022476301217536,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 8 / weighted by first ionization potential,2D
RDF85v,0.0021300361877462,RDFDescriptor,Radial distribution function - 085 / weighted by relative van der Waals volumes,3D
RDF20m,0.0020853508661488,RDFDescriptor,Radial distribution function - 020 / weighted by relative mass,3D
TDB9e,0.0020541329815949,Autocorrelation3DDescriptor,3D topological distance based autocorrelation - lag 9 / weighted by Sanderson electronegativities,3D
PubchemFP750,0.0019284644886481,SMARTS patterns 2,Nc1cc(Cl)ccc1,FP
VE2_Dt,0.0019065073306239,DetourMatrixDescriptor,Average coefficient sum of the last eigenvector from detour matrix,2D
PubchemFP705,0.0018879017413051,SMARTS patterns,O=C-C-C-C-C(O)-C,FP
E2p,0.0018812483119586,PaDELWHIMDescriptor,2nd component accessibility directional WHIM index / weighted by relative polarizabilities,3D
BCUTw-1l,0.0018674103340643,BCUTDescriptor,nhigh lowest atom weighted BCUTS ,2D
ATSC8c,0.0018502087290492,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 8 / weighted by charges,2D
RDF95m,0.0017815185460441,RDFDescriptor,Radial distribution function - 095 / weighted by relative mass,3D
maxHdsCH,0.0017530174558467,ElectrotopologicalStateAtomTypeDescriptor,Maximum atom-type H E-State: =CH-,2D
PubchemFP752,0.0017364681719451,SMARTS patterns 2,Clc1cc(Cl)ccc1,FP
SHBint6,0.0017298898689184,ElectrotopologicalStateAtomTypeDescriptor,Sum of E-State descriptors of strength for potential hydrogen bonds of path length 6,2D
Du,0.001664747148321,PaDELWHIMDescriptor,D total accessibility index / unweighted,3D
CIC3,0.0016336219445454,InformationContentDescriptor,Complementary information content index (neighborhood symmetry of 3-order),2D
GGI7,0.0015974168240186,TopologicalChargeDescriptor,Topological charge index of order 7,2D
RDF20i,0.001588593680484,RDFDescriptor,Radial distribution function - 020 / weighted by relative first ionization potential,3D
ALogp2,0.0015795806652436,,,
PubchemFP629,0.0015756748765266,SMARTS patterns,S-C:C:C-N,FP
ATSC2i,0.0015599391140203,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 2 / weighted by first ionization potential,2D
GATS6e,0.0015588325561535,AutocorrelationDescriptor,Geary autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
ATSC6e,0.0015386026220304,AutocorrelationDescriptor,Centered Broto-Moreau autocorrelation - lag 6 / weighted by Sanderson electronegativities,2D
nHBint6,0.0015292308162416,ElectrotopologicalStateAtomTypeDescriptor,Count of E-State descriptors of strength for potential Hydrogen Bonds of path length 6,2D
nHeteroRing,0.0014922169514356,RingCountDescriptor,"Number of rings containing heteroatoms (N, O, P, S, or halogens)",2D
nHBint8,0.0014835693033612,ElectrotopologicalStateAtomTypeDescriptor,Count of E-State descriptors of strength for potential Hydrogen Bonds of path length 8,2D
RDF125m,0.0014712114610692,RDFDescriptor,Radial distribution function - 125 / weighted by relative mass,3D
PubchemFP258,0.001466866899294,Chemical Rings,>= 2 hetero-aromatic rings,FP
nHBAcc,0.0014630611016903,PaDELHBondAcceptorCountDescriptor,Number of hydrogen bond acceptors (using CDK HBondAcceptorCountDescriptor algorithm),2D
maxHBint9,0.0014573805719045,ElectrotopologicalStateAtomTypeDescriptor,Maximum E-State descriptors of strength for potential Hydrogen Bonds of path length 9,2D
PubchemFP656,0.0014573250637802,SMARTS patterns,C-C-N-C-C,FP
GATS2s,0.0014205249508663,AutocorrelationDescriptor,Geary autocorrelation - lag 2 / weighted by I-state,2D
